ticker,company,sub,fy,revenue,op_cf,capex,net_income,cap_interest,cash,equity,debt,shares
LNG,Cheniere Energy,LNG 수출,2008,,,,,,102192000.0,-274054000.0,,
LNG,Cheniere Energy,LNG 수출,2009,181126000.0,-97857000.0,,-161490000.0,,88372000.0,-432127000.0,,
LNG,Cheniere Energy,LNG 수출,2010,291513000.0,-16920000.0,,-76203000.0,,74161000.0,-661631000.0,2918579000.0,67800000.0
LNG,Cheniere Energy,LNG 수출,2011,290444000.0,-42764000.0,,-198756000.0,,459160000.0,-381567000.0,2465113000.0,223400000.0
LNG,Cheniere Energy,LNG 수출,2012,266220000.0,-107840000.0,1117956000.0,-332780000.0,35100000.0,201711000.0,510001000.0,2167113000.0,223400000.0
LNG,Cheniere Energy,LNG 수출,2013,267213000.0,-52436000.0,3114343000.0,-507922000.0,233000000.0,960842000.0,179682000.0,6576273000.0,238091000.0
LNG,Cheniere Energy,LNG 수출,2014,267954000.0,-262798000.0,2829558000.0,-547932000.0,405800000.0,2780000000.0,-164177000.0,9806084000.0,236745000.0
LNG,Cheniere Energy,LNG 수출,2015,271000000.0,-483000000.0,6853000000.0,-975000000.0,675000000.0,1736000000.0,-901850000.0,14920427000.0,235639000.0
LNG,Cheniere Energy,LNG 수출,2016,1283000000.0,-404000000.0,4356000000.0,-610000000.0,813000000.0,1827000000.0,-1396000000.0,21688000000.0,238000000.0
LNG,Cheniere Energy,LNG 수출,2017,5601000000.0,1231000000.0,3357000000.0,-393000000.0,779000000.0,2613000000.0,-1764000000.0,25336000000.0,237600000.0
LNG,Cheniere Energy,LNG 수출,2018,7987000000.0,1990000000.0,3643000000.0,471000000.0,803000000.0,3156000000.0,-526000000.0,28179000000.0,257000000.0
LNG,Cheniere Energy,LNG 수출,2019,9730000000.0,1833000000.0,3056000000.0,648000000.0,414000000.0,2994000000.0,-14000000.0,30774000000.0,253600000.0
LNG,Cheniere Energy,LNG 수출,2020,9358000000.0,1265000000.0,1839000000.0,-85000000.0,,2077000000.0,-191000000.0,30471000000.0,252300000.0
LNG,Cheniere Energy,LNG 수출,2021,15864000000.0,2469000000.0,966000000.0,-1565000000.0,,1817000000.0,-2571000000.0,29449000000.0,253600000.0
LNG,Cheniere Energy,LNG 수출,2022,33428000000.0,10523000000.0,1830000000.0,2635000000.0,,2487000000.0,-2969000000.0,24055000000.0,249900000.0
LNG,Cheniere Energy,LNG 수출,2023,20394000000.0,8418000000.0,2121000000.0,12059000000.0,,4525000000.0,5060000000.0,23397000000.0,238254866.0
LNG,Cheniere Energy,LNG 수출,2024,15703000000.0,5394000000.0,2238000000.0,4492000000.0,,3190000000.0,5699000000.0,22554000000.0,224365066.0
LNG,Cheniere Energy,LNG 수출,2025,19976000000.0,5539000000.0,3078000000.0,6794000000.0,,1584000000.0,7915000000.0,22507000000.0,215234776.0
LNG,Cheniere Energy,LNG 수출,2026,,,,,,1519000000.0,6191000000.0,22632000000.0,206534158.0
VG,Venture Global,LNG 수출,2022,,,,,,2412000000.0,,,
VG,Venture Global,LNG 수출,2023,7897000000.0,4550000000.0,8091000000.0,3616000000.0,649000000.0,5872000000.0,,,
VG,Venture Global,LNG 수출,2024,4972000000.0,2149000000.0,13717000000.0,1746000000.0,1516000000.0,4614000000.0,2897000000.0,29086000000.0,
VG,Venture Global,LNG 수출,2025,13769000000.0,6566000000.0,13365000000.0,2733000000.0,1081000000.0,3425000000.0,6743000000.0,33393000000.0,
VG,Venture Global,LNG 수출,2026,,,,,,4590000000.0,8572000000.0,41527000000.0,
NEXT,NextDecade,LNG 수출,2014,,,,,,356000.0,1114000.0,,3026250.0
NEXT,NextDecade,LNG 수출,2015,0.0,-6227000.0,33213000.0,-263187.0,,44130000.0,76564000.0,,4498966.0
NEXT,NextDecade,LNG 수출,2016,0.0,-7190000.0,19392000.0,-434698.0,,12524000.0,68098000.0,,95700000.0
NEXT,NextDecade,LNG 수출,2017,0.0,-12830000.0,14833000.0,-35326000.0,,35703000.0,103092000.0,,106300000.0
NEXT,NextDecade,LNG 수출,2018,0.0,-23285000.0,18658000.0,-41960000.0,,3169000.0,83221000.0,,106900000.0
NEXT,NextDecade,LNG 수출,2019,0.0,-40700000.0,20303000.0,-35871000.0,,15736000.0,89717000.0,,117300000.0
NEXT,NextDecade,LNG 수출,2020,0.0,-26253000.0,32352000.0,-14329000.0,,22608000.0,60432000.0,,117800000.0
NEXT,NextDecade,LNG 수출,2021,0.0,-17960000.0,12105000.0,-40396000.0,,25552000.0,19892000.0,,120800000.0
NEXT,NextDecade,LNG 수출,2022,0.0,-40076000.0,33753000.0,-84353000.0,0.0,62789000.0,54371000.0,0.0,143500000.0
NEXT,NextDecade,LNG 수출,2023,0.0,-73620000.0,1737636000.0,-182745000.0,,294478000.0,287923000.0,1816301000.0,256500000.0
NEXT,NextDecade,LNG 수출,2024,0.0,-95585000.0,2567801000.0,-61751000.0,,392762000.0,377641000.0,3920425000.0,260200000.0
NEXT,NextDecade,LNG 수출,2025,0.0,-169397000.0,4846807000.0,-306434000.0,,707088000.0,95338000.0,8510925000.0,264800000.0
NEXT,NextDecade,LNG 수출,2026,,,,,,499569000.0,-57280000.0,10416607000.0,265100000.0
TELL,Tellurian,LNG 수출,2009,,,,,,34689000.0,53512000.0,,
TELL,Tellurian,LNG 수출,2010,,3952000.0,,-1446000.0,,28091183.0,73818000.0,,
TELL,Tellurian,LNG 수출,2011,,-4495000.0,,-32432000.0,,17210000.0,42484419.0,,53835594.0
TELL,Tellurian,LNG 수출,2012,,-10441000.0,,26498000.0,,31704000.0,61724000.0,606000.0,54057159.0
TELL,Tellurian,LNG 수출,2013,,-17265000.0,2732000.0,-19767000.0,,12159000.0,33641000.0,174000.0,54057159.0
TELL,Tellurian,LNG 수출,2014,,-11668000.0,20923000.0,15509000.0,,7405000.0,29103000.0,,55376221.0
TELL,Tellurian,LNG 수출,2015,,-6593000.0,3000.0,-21596000.0,,0.0,0.0,5500000.0,6911921.0
TELL,Tellurian,LNG 수출,2016,0.0,-50430000.0,1000.0,-96655000.0,,21398000.0,5599000.0,783000.0,5879610.0
TELL,Tellurian,LNG 수출,2017,5441000.0,-109229000.0,,-231459000.0,,128273000.0,223887000.0,0.0,222749220.0
TELL,Tellurian,LNG 수출,2018,10286000.0,-103752000.0,,-125745000.0,,183589000.0,297934000.0,57048000.0,240655607.0
