ticker,year,close,asof
LNG,1994,10.0,1994-12
LNG,1995,15.0,1995-12
LNG,1996,7.94,1996-12
LNG,1997,4.12,1997-12
LNG,1998,2.0,1998-12
LNG,1999,1.44,1999-12
LNG,2000,1.205,2000-12
LNG,2001,0.5,2001-12
LNG,2002,0.64,2002-12
LNG,2003,5.85,2003-12
LNG,2004,31.85,2004-12
LNG,2005,37.22,2005-12
LNG,2006,28.87,2006-12
LNG,2007,32.64,2007-12
LNG,2008,2.85,2008-12
LNG,2009,2.42,2009-12
LNG,2010,5.52,2010-12
LNG,2011,8.69,2011-12
LNG,2012,18.78,2012-12
LNG,2013,43.12,2013-12
LNG,2014,70.4,2014-12
LNG,2015,37.25,2015-12
LNG,2016,41.43,2016-12
LNG,2017,53.84,2017-12
LNG,2018,59.19,2018-12
LNG,2019,61.07,2019-12
LNG,2020,60.03,2020-12
LNG,2021,101.42,2021-12
LNG,2022,149.96,2022-12
LNG,2023,170.71,2023-12
LNG,2024,214.87,2024-12
LNG,2025,194.39,2025-12
LNG,2026,271.64,2026-08
VG,2025,6.82,2025-12
VG,2026,13.99,2026-08
NEXT,2015,9.82,2015-12
NEXT,2016,10.12,2016-12
NEXT,2017,8.32,2017-12
NEXT,2018,5.4,2018-12
NEXT,2019,6.14,2019-12
NEXT,2020,2.09,2020-12
NEXT,2021,2.85,2021-12
NEXT,2022,4.94,2022-12
NEXT,2023,4.77,2023-12
NEXT,2024,7.71,2024-12
NEXT,2025,5.27,2025-12
NEXT,2026,7.19,2026-08
NFE,2019,14.47,2019-12
NFE,2020,53.59,2020-12
NFE,2021,24.14,2021-12
NFE,2022,42.42,2022-12
NFE,2023,37.73,2023-12
NFE,2024,15.9,2024-12
NFE,2025,1.11,2025-12
NFE,2026,0.3241,2026-08
SMR,2022,10.26,2022-12
SMR,2023,3.29,2023-12
SMR,2024,20.85,2024-12
SMR,2025,16.31,2025-12
SMR,2026,9.39,2026-08
OKLO,2021,9.85,2021-12
OKLO,2022,9.92,2022-12
OKLO,2023,10.56,2023-12
OKLO,2024,27.25,2024-12
OKLO,2025,77.8,2025-12
OKLO,2026,44.38,2026-08
PLUG,1999,282.5,1999-12
PLUG,2000,146.875,2000-12
PLUG,2001,87.4,2001-12
PLUG,2002,44.9,2002-12
PLUG,2003,72.5,2003-12
PLUG,2004,61.1,2004-12
PLUG,2005,51.3,2005-12
PLUG,2006,38.9,2006-12
PLUG,2007,39.5,2007-12
PLUG,2008,10.2,2008-12
PLUG,2009,7.1,2009-12
PLUG,2010,3.7,2010-12
PLUG,2011,2.04,2011-12
PLUG,2012,0.5,2012-12
PLUG,2013,1.55,2013-12
PLUG,2014,3.0,2014-12
PLUG,2015,2.11,2015-12
PLUG,2016,1.2,2016-12
PLUG,2017,2.36,2017-12
PLUG,2018,1.24,2018-12
PLUG,2019,3.16,2019-12
PLUG,2020,33.91,2020-12
PLUG,2021,28.23,2021-12
PLUG,2022,12.37,2022-12
PLUG,2023,4.5,2023-12
PLUG,2024,2.13,2024-12
PLUG,2025,1.97,2025-12
PLUG,2026,2.32,2026-08
FCEL,1992,11520.0,1992-12
FCEL,1993,7380.0,1993-12
FCEL,1994,6840.0,1994-12
FCEL,1995,8325.0,1995-12
FCEL,1996,10620.0,1996-12
FCEL,1997,11430.0,1997-12
FCEL,1998,10080.0,1998-12
FCEL,1999,27067.5,1999-12
FCEL,2000,148095.0,2000-12
FCEL,2001,78364.7969,2001-12
FCEL,2002,28296.0,2002-12
FCEL,2003,56246.3984,2003-12
FCEL,2004,42768.0,2004-12
FCEL,2005,36590.3984,2005-12
FCEL,2006,27907.1992,2006-12
FCEL,2007,42854.3984,2007-12
FCEL,2008,16761.5996,2008-12
FCEL,2009,16243.2002,2009-12
FCEL,2010,9979.2002,2010-12
FCEL,2011,3758.3999,2011-12
FCEL,2012,3974.3999,2012-12
FCEL,2013,6091.2002,2013-12
FCEL,2014,6652.7998,2014-12
FCEL,2015,1785.6,2015-12
FCEL,2016,630.0,2016-12
FCEL,2017,612.0,2017-12
FCEL,2018,198.0,2018-12
FCEL,2019,75.3,2019-12
FCEL,2020,335.1,2020-12
FCEL,2021,156.0,2021-12
FCEL,2022,83.4,2022-12
FCEL,2023,48.0,2023-12
FCEL,2024,9.04,2024-12
FCEL,2025,7.31,2025-12
FCEL,2026,22.37,2026-08
BE,2018,11.83,2018-12
BE,2019,8.03,2019-12
BE,2020,28.66,2020-12
BE,2021,21.93,2021-12
BE,2022,19.12,2022-12
BE,2023,14.8,2023-12
BE,2024,24.32,2024-12
BE,2025,98.69,2025-12
BE,2026,229.94,2026-08
CORZ,2024,15.38,2024-12
CORZ,2025,15.99,2025-12
CORZ,2026,20.18,2026-08
APLD,2022,1.84,2022-12
APLD,2023,6.74,2023-12
APLD,2024,9.11,2024-12
APLD,2025,28.11,2025-12
APLD,2026,31.2,2026-08
TLN,2023,64.0,2023-12
TLN,2024,215.59,2024-12
TLN,2025,396.73,2025-12
TLN,2026,362.74,2026-08
